cep	clientes	status	bairro_padrao_gravacao	familias	motivo
74475017	1	SEGURO	Setor Parque Tremendão	Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475020	24	REVISAR	PARQUE TREMENDÃO	PARQUE TREMENDÃO (17) | SETOR PARQUE TREMENDÃO (5) | PARQUE TREMENDAO (1) || PARQUE TREMENDÃO 2 (1)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74475023	2	SEGURO	Setor Parque Tremendão	Setor Parque Tremendão (2)	Todas as variantes pertencem à mesma família
74475028	7	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (5) | Setor Parque Tremendão (1) | SETOR PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475029	1	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475030	1	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475032	2	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (2)	Todas as variantes pertencem à mesma família
74475035	1	SEGURO	Setor Parque Tremendão	Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475037	1	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475038	1	SEGURO	Setor Parque Tremendão	Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475041	1	SEGURO	Setor Parque Tremendão	Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475047	2	SEGURO	Setor Parque Tremendão	PARQUE TREMENDÃO (1) | Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475050	4	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (3) | SETOR PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475052	1	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475053	1	SEGURO	Setor Parque Tremendão	Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475054	1	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475055	1	SEGURO	Setor Parque Tremendão	Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475056	2	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (2)	Todas as variantes pertencem à mesma família
74475057	2	SEGURO	SETOR PARQUE TREMENDÃO	SETOR PARQUE TREMENDÃO (1) | Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475059	3	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (3)	Todas as variantes pertencem à mesma família
74475060	4	BLOQUEADO		PARQUE TREMENDÃO (2) | SETOR PARQUE TREMENDÃO (1) || JARDIM LIBERDADE (1)	CEP possui famílias de bairros estruturalmente distintas
74475061	1	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475062	3	SEGURO	SETOR PARQUE TREMENDÃO	PARQUE TREMENDÃO (1) | PARQUE TREMENDÂO (1) | SETOR PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475064	1	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475070	5	SEGURO	Setor Parque Tremendão	Setor Parque Tremendão (3) | PARQUE TREMENDÃO (1) | SETOR PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475073	1	SEGURO	Setor Parque Tremendão	Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475075	7	BLOQUEADO		PARQUE TREMENDÃO (3) || VILAGE NOROESTE (2) || VILLAGE NOROESTE (1) || PARQUE TREMNDÃO (1)	CEP possui famílias de bairros estruturalmente distintas
74475076	1	SEGURO	Setor Parque Tremendão	Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475077	3	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (3)	Todas as variantes pertencem à mesma família
74475078	1	SEGURO	SETOR PARQUE TREMENDÃO	SETOR PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475079	1	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475082	3	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (2) | Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475090	4	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (3) | Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475092	1	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475094	2	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (2)	Todas as variantes pertencem à mesma família
74475095	3	BLOQUEADO		PARQUE TREMENDÃO (1) | Setor Parque Tremendão (1) || RESIDENCIAL VALE DOS CARAIBAS (1)	CEP possui famílias de bairros estruturalmente distintas
74475104	1	SEGURO	SETOR PARQUE TREMENDÃO	SETOR PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475110	1	SEGURO	Setor Morada do Sol	Setor Morada do Sol (1)	Todas as variantes pertencem à mesma família
74475115	9	SEGURO	MORADA DO SOL	MORADA DO SOL (7) | SETOR MORADA DO SOL (2)	Todas as variantes pertencem à mesma família
74475116	1	SEGURO	MORADA DO SOL	MORADA DO SOL (1)	Todas as variantes pertencem à mesma família
74475122	3	BLOQUEADO		VILA FINSOCIAL (2) || MORADA DO SOL (1)	CEP possui famílias de bairros estruturalmente distintas
74475124	4	SEGURO	SETOR MORADA DO SOL	SETOR MORADA DO SOL (3) | MORADA DO SOL (1)	Todas as variantes pertencem à mesma família
74475125	1	SEGURO	MORADA DO SOL	MORADA DO SOL (1)	Todas as variantes pertencem à mesma família
74475130	1	SEGURO	MORADA DO SOL	MORADA DO SOL (1)	Todas as variantes pertencem à mesma família
74475132	1	SEGURO	Setor Morada do Sol	Setor Morada do Sol (1)	Todas as variantes pertencem à mesma família
74475137	6	REVISAR	SETOR MORADA DO SOL	SETOR MORADA DO SOL (4) | MORADA DO SOL (1) || SITIO RECREIO MORADA DO SOL (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74475138	4	SEGURO	SETOR MORADA DO SOL	MORADA DO SOL (2) | SETOR MORADA DO SOL (2)	Todas as variantes pertencem à mesma família
74475140	2	SEGURO	MORADA DO SOL	MORADA DO SOL (2)	Todas as variantes pertencem à mesma família
74475143	13	REVISAR	SETOR MORADA DO SOL	MORADA DO SOL (6) | SETOR MORADA DO SOL (6) || VILA FINSOCIAL (1)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74475160	1	SEGURO	MORADA DO SOL	MORADA DO SOL (1)	Todas as variantes pertencem à mesma família
74475179	1	SEGURO	Setor Morada do Sol	Setor Morada do Sol (1)	Todas as variantes pertencem à mesma família
74475204	3	SEGURO	MORADA DO SOL	MORADA DO SOL (2) | Setor Morada do Sol (1)	Todas as variantes pertencem à mesma família
74475214	1	SEGURO	Setor Morada do Sol	Setor Morada do Sol (1)	Todas as variantes pertencem à mesma família
74475223	1	SEGURO	MORADA DO SOL	MORADA DO SOL (1)	Todas as variantes pertencem à mesma família
74475226	1	SEGURO	MORADA DO SOL	MORADA DO SOL (1)	Todas as variantes pertencem à mesma família
74475230	1	SEGURO	MORADA DO SOL	MORADA DO SOL (1)	Todas as variantes pertencem à mesma família
74475237	1	SEGURO	SETOR MORADA DO SOL	SETOR MORADA DO SOL (1)	Todas as variantes pertencem à mesma família
74475260	1	SEGURO	SETOR ESTRELA DALVA	SETOR ESTRELA DALVA (1)	Todas as variantes pertencem à mesma família
74475292	1	SEGURO	Setor Estrela Dalva	Setor Estrela Dalva (1)	Todas as variantes pertencem à mesma família
74475296	1	SEGURO	Setor Estrela Dalva	Setor Estrela Dalva (1)	Todas as variantes pertencem à mesma família
74475298	1	SEGURO	ESTRELA DALVA	ESTRELA DALVA (1)	Todas as variantes pertencem à mesma família
74475300	1	SEGURO	ESTRELA DALVA	ESTRELA DALVA (1)	Todas as variantes pertencem à mesma família
74475314	1	SEGURO	SETOR ESTRELA DALVA	SETOR ESTRELA DALVA (1)	Todas as variantes pertencem à mesma família
74475318	1	SEGURO	Setor Estrela Dalva	Setor Estrela Dalva (1)	Todas as variantes pertencem à mesma família
74475332	1	SEGURO	SETOR ESTRELA DALVA	SETOR ESTRELA DALVA (1)	Todas as variantes pertencem à mesma família
74475343	1	SEGURO	RESIDENCIAL BRISAS DA MATA	RESIDENCIAL BRISAS DA MATA (1)	Todas as variantes pertencem à mesma família
74475344	1	SEGURO	RESIDENCIAL BRISAS DA MATA	RESIDENCIAL BRISAS DA MATA (1)	Todas as variantes pertencem à mesma família
74475354	1	SEGURO	Residencial Brisas da Mata	Residencial Brisas da Mata (1)	Todas as variantes pertencem à mesma família
74475356	1	SEGURO	Residencial Brisas da Mata	Residencial Brisas da Mata (1)	Todas as variantes pertencem à mesma família
74475358	1	SEGURO	Residencial Brisas da Mata	Residencial Brisas da Mata (1)	Todas as variantes pertencem à mesma família
74475400	2	BLOQUEADO		Vila Mutirão II (1) || VILA MUTIRÃO (1)	CEP possui famílias de bairros estruturalmente distintas
74475405	5	BLOQUEADO		VILA MUTIRÃO (2) | Vila Mutirão (1) || VILA MUTIRÃO II (2)	CEP possui famílias de bairros estruturalmente distintas
74475410	15	REVISAR	VILA MUTIRÃO	VILA MUTIRÃO (10) | VILA MUTIRAO (1) || JARDIM LIBERDADE (2) || VILA MUTIRÃO II (1) | Vila Mutirão II (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74475415	3	BLOQUEADO		VILA MUTIRÃO II (2) || VILA MUTIRÃO (1)	CEP possui famílias de bairros estruturalmente distintas
74475417	3	BLOQUEADO		VILA MUTIRÃO II (2) || VILA MUTIRÃO (1)	CEP possui famílias de bairros estruturalmente distintas
74475420	18	BLOQUEADO		VILA MUTIRÃO II (6) | Vila Mutirão II (3) || VILA MUTIRÃO (7) || JARDIM LIBERDADE (2)	CEP possui famílias de bairros estruturalmente distintas
74475422	1	SEGURO	RESIDENCIAL PRIVE NORTE	RESIDENCIAL PRIVE NORTE (1)	Todas as variantes pertencem à mesma família
74475425	3	BLOQUEADO		VILA MUTIRÃO (2) || Vila Mutirão II (1)	CEP possui famílias de bairros estruturalmente distintas
74475430	4	BLOQUEADO		VILA MUTIRÃO (3) || VILA MUTIRÃO II (1)	CEP possui famílias de bairros estruturalmente distintas
74475440	9	REVISAR	VILA MUTIRÃO	VILA MUTIRÃO (6) | VILA  MUTIRÃO (1) || VILA MUTIRÃO II (2)	Há família dominante, porém sem segurança suficiente para alteração automática
74475450	10	BLOQUEADO		VILA MUTIRÃO (5) | Vila Mutirão (1) || VILA MUTIRÃO II (2) | Vila Mutirão II (1) || JARDIM LIBERDADE (1)	CEP possui famílias de bairros estruturalmente distintas
74475455	5	BLOQUEADO		VILA MUTIRÃO (2) | VILA MUTIRÂO (1) || Vila Mutirão II (1) | VILA MUTIRÃO II (1)	CEP possui famílias de bairros estruturalmente distintas
74475460	30	BLOQUEADO		VILA MUTIRÃO (17) || VILA MUTIRÃO II (5) | Vila Mutirão II (4) || JARDIM LIBERDADE (4)	CEP possui famílias de bairros estruturalmente distintas
74475463	9	BLOQUEADO		JARDIM LIBERDADE (5) || Vila Mutirão II (3) | VILA MUTIRÃO II (1)	CEP possui famílias de bairros estruturalmente distintas
74475465	6	BLOQUEADO		VILA MUTIRÃO (3) || VILA MUTIRÃO II (1) | Vila Mutirão II (1) || JARDIM LIBERDADE (1)	CEP possui famílias de bairros estruturalmente distintas
74475467	7	REVISAR	VILA MUTIRÃO	VILA MUTIRÃO (4) | Vila Mutirão (1) || JARDIM LIBERDADE (2)	Há família dominante, porém sem segurança suficiente para alteração automática
74475470	17	BLOQUEADO		VILA MUTIRÃO (11) || VILA MUTIRÃO II (3) | Vila Mutirão II (3)	CEP possui famílias de bairros estruturalmente distintas
74475474	1	SEGURO	VILA MUTIRÃO	VILA MUTIRÃO (1)	Todas as variantes pertencem à mesma família
74475475	16	BLOQUEADO		VILA MUTIRÃO (10) || VILA MUTIRÃO II (5) | Vila Mutirão II (1)	CEP possui famílias de bairros estruturalmente distintas
74475485	2	BLOQUEADO		VILA MUTIRÃO (1) || JARDIM LIBERDADE (1)	CEP possui famílias de bairros estruturalmente distintas
74475490	1	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (1)	Todas as variantes pertencem à mesma família
74475500	1	SEGURO	VILA MUTIRÃO	VILA MUTIRÃO (1)	Todas as variantes pertencem à mesma família
74475520	47	REVISAR	JARDIM LIBERDADE	JARDIM LIBERDADE (36) | Jardim Liberdade (7) || VILA MUTIRÃO (3) | VILA MUTIRAO (1)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74475530	43	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (39) | Jardim Liberdade (3) | LIBERDADE (1)	Todas as variantes pertencem à mesma família
74475535	29	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (28) | Jardim Liberdade (1)	Todas as variantes pertencem à mesma família
74475540	16	REVISAR	JARDIM LIBERDADE	JARDIM LIBERDADE (11) | Jardim Liberdade (3) || VILA MUTIRÃO (2)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74475550	24	REVISAR	JARDIM LIBERDADE	JARDIM LIBERDADE (21) | Jardim Liberdade (2) || SETOR PERIM (1)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74475570	10	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (8) | Jardim Liberdade (2)	Todas as variantes pertencem à mesma família
74475574	1	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (1)	Todas as variantes pertencem à mesma família
74475575	36	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (34) | Jardim Liberdade (2)	Todas as variantes pertencem à mesma família
74475580	38	REVISAR	JARDIM LIBERDADE	JARDIM LIBERDADE (30) | Jardim Liberdade (4) || VILA MUTIRÃO (1) | Vila mutirão (1) || JARDIM VISTA BELA (1) || RESIDENCIAL FORTALEZA (1)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74475590	41	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (39) | Jardim Liberdade (2)	Todas as variantes pertencem à mesma família
74475600	11	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (11)	Todas as variantes pertencem à mesma família
74475610	27	REVISAR	JARDIM LIBERDADE	JARDIM LIBERDADE (24) | Jardim Liberdade (2) || NOVO PLANALTO (1)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74475620	10	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (8) | Jardim Liberdade (2)	Todas as variantes pertencem à mesma família
74475625	1	SEGURO	JARDIM COLORADO	JARDIM COLORADO (1)	Todas as variantes pertencem à mesma família
74475630	4	BLOQUEADO		JARDIM LIBERDADE (3) || VILA MUTIRÃO (1)	CEP possui famílias de bairros estruturalmente distintas
74475640	39	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (35) | Jardim Liberdade (4)	Todas as variantes pertencem à mesma família
74475650	27	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (25) | Jardim Liberdade (2)	Todas as variantes pertencem à mesma família
74475660	77	REVISAR	JARDIM LIBERDADE	JARDIM LIBERDADE (68) | Jardim Liberdade (6) || VILA MUTIRÃO (3)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74475670	15	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (15)	Todas as variantes pertencem à mesma família
74475675	13	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (13)	Todas as variantes pertencem à mesma família
74475680	10	REVISAR	JARDIM LIBERDADE	JARDIM LIBERDADE (9) || NOVO PLANALTO (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74475742	1	SEGURO	SETOR ESTRELA DALVA	SETOR ESTRELA DALVA (1)	Todas as variantes pertencem à mesma família
74475757	1	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (1)	Todas as variantes pertencem à mesma família
74475801	11	SEGURO	SETOR PARQUE TREMENDÃO	PARQUE TREMENDÃO (5) | SETOR PARQUE TREMENDÃO (5) | Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475802	9	REVISAR	SETOR PARQUE TREMENDÃO	SETOR PARQUE TREMENDÃO (4) | PARQUE TREMENDÃO (3) || PARQUE TREMENDÃO 2 (1) || TREMENDÃO (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74475803	20	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (14) | SETOR PARQUE TREMENDÃO (4) | PARQUE TREMENDAO (2)	Todas as variantes pertencem à mesma família
74475804	16	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (8) | SETOR PARQUE TREMENDÃO (7) | SETOR PARQUE TREMENDAO (1)	Todas as variantes pertencem à mesma família
74475805	2	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (2)	Todas as variantes pertencem à mesma família
74475807	11	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (8) | SETOR PARQUE TREMENDÃO (2) | Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475809	1	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475810	8	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (4) | Setor Parque Tremendão (3) | SETOR PARQUE TREMENDÃO (1)	Todas as variantes pertencem à mesma família
74475813	2	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (2)	Todas as variantes pertencem à mesma família
74475818	1	SEGURO	Setor Parque Tremendão	Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475820	1	SEGURO	Setor Parque Tremendão	Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74475845	1	SEGURO	VILA MUTIRÃO	VILA MUTIRÃO (1)	Todas as variantes pertencem à mesma família
74475860	14	SEGURO	PARQUE TREMENDÃO	PARQUE TREMENDÃO (10) | SETOR PARQUE TREMENDÃO (3) | Setor Parque Tremendão (1)	Todas as variantes pertencem à mesma família
74476005	1	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA (1)	Todas as variantes pertencem à mesma família
74476010	2	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA (2)	Todas as variantes pertencem à mesma família
74476020	1	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA (1)	Todas as variantes pertencem à mesma família
74476030	11	REVISAR	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA (10) || BAIRRO DA VITORIA (1)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74476040	4	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA (4)	Todas as variantes pertencem à mesma família
74476050	19	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA (16) | Residencial Fortaleza (3)	Todas as variantes pertencem à mesma família
74476065	7	REVISAR	Residencial Fortaleza	Residencial Fortaleza (3) | RESIDENCIAL FORTALEZA (2) || NOVO PLANALTO (1) || JARDIM LIBERDADE (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74476070	23	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA (21) | Residencial Fortaleza (2)	Todas as variantes pertencem à mesma família
74476080	2	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA (1) | Residencial Fortaleza (1)	Todas as variantes pertencem à mesma família
74476100	3	BLOQUEADO		RESIDENCIAL FORTALEZA (2) || CONDOMÍNIO TERRA NOVA (1)	CEP possui famílias de bairros estruturalmente distintas
74476110	9	REVISAR	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA (6) || JARDIM LIBERDADE (2) || VILA MUTIRÃO (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74476125	1	SEGURO	CONJUNTO RESIDENCIAL PAULO PACHECO	CONJUNTO RESIDENCIAL PAULO PACHECO (1)	Todas as variantes pertencem à mesma família
74477001	5	BLOQUEADO		BAIRRO DA VITORIA (2) | BAIRRO DA VITÓRIA (1) || DA VITÓRIA (2)	CEP possui famílias de bairros estruturalmente distintas
74477002	1	SEGURO	BAIRRO DA VITORIA	BAIRRO DA VITORIA (1)	Todas as variantes pertencem à mesma família
74477003	7	BLOQUEADO		BAIRRO DA VITÓRIA (3) | BAIRRO DA VITORIA (1) || Da Vitória (2) | DA VITÓRIA (1)	CEP possui famílias de bairros estruturalmente distintas
74477004	3	BLOQUEADO		BAIRRO DA VITÓRIA (2) || Da Vitória (1)	CEP possui famílias de bairros estruturalmente distintas
74477005	1	SEGURO	BAIRRO DA VITÓRIA	BAIRRO DA VITÓRIA (1)	Todas as variantes pertencem à mesma família
74477006	7	BLOQUEADO		BAIRRO DA VITÓRIA (3) | BAIRRO DA VITORIA (1) || Da Vitória (2) | DA VITÓRIA (1)	CEP possui famílias de bairros estruturalmente distintas
74477007	1	SEGURO	DA VITÓRIA	DA VITÓRIA (1)	Todas as variantes pertencem à mesma família
74477008	2	SEGURO	DA VITÓRIA	DA VITÓRIA (1) | Da Vitória (1)	Todas as variantes pertencem à mesma família
74477009	2	BLOQUEADO		BAIRRO DA VITÓRIA (1) || SAO CARLOS (1)	CEP possui famílias de bairros estruturalmente distintas
74477010	4	BLOQUEADO		BAIRRO DA VITÓRIA (2) || RESERVA CAMPO BELO (1) || CONDOMÍNIO TERRA NOVA (1)	CEP possui famílias de bairros estruturalmente distintas
74477011	2	SEGURO	BAIRRO DA VITORIA	BAIRRO DA VITORIA (2)	Todas as variantes pertencem à mesma família
74477012	10	BLOQUEADO		BAIRRO DA VITÓRIA (4) | BAIRRO DA VITORIA (1) || JARDIM NOVA ESPERANÇA (2) || SÃO CARLOS (1) || CANDIDA DE MORAES (1) || Da Vitória (1)	CEP possui famílias de bairros estruturalmente distintas
74477018	1	SEGURO	Da Vitória	Da Vitória (1)	Todas as variantes pertencem à mesma família
74477019	4	SEGURO	BAIRRO DA VITÓRIA	BAIRRO DA VITÓRIA (3) | BAIRRO DA VITORIA (1)	Todas as variantes pertencem à mesma família
74477020	12	BLOQUEADO		BAIRRO DA VITÓRIA (5) | BAIRRO DA VITORIA (1) || DA VITÓRIA (5) | Da Vitória (1)	CEP possui famílias de bairros estruturalmente distintas
74477021	5	BLOQUEADO		BAIRRO DA VITÓRIA (4) || DA VITÓRIA (1)	CEP possui famílias de bairros estruturalmente distintas
74477022	3	SEGURO	BAIRRO DA VITORIA	BAIRRO DA VITORIA (2) | BAIRRO DA VITÓRIA (1)	Todas as variantes pertencem à mesma família
74477024	3	BLOQUEADO		BAIRRO DA VITORIA (1) | BAIRRO DA VITÓRIA (1) || Da Vitória (1)	CEP possui famílias de bairros estruturalmente distintas
74477025	3	BLOQUEADO		BAIRRO DA VITÓRIA (1) | BAIRRO DA VITORIA (1) || Da Vitória (1)	CEP possui famílias de bairros estruturalmente distintas
74477026	1	SEGURO	BAIRRO DA VITÓRIA	BAIRRO DA VITÓRIA (1)	Todas as variantes pertencem à mesma família
74477027	3	BLOQUEADO		BAIRRO DA VITÓRIA (2) || DA VITÓRIA (1)	CEP possui famílias de bairros estruturalmente distintas
74477030	7	REVISAR	BAIRRO DA VITÓRIA	BAIRRO DA VITÓRIA (4) | BAIRRO DA VITORIA (2) || DA VITÓRIA (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74477031	4	SEGURO	BAIRRO DA VITÓRIA	BAIRRO DA VITÓRIA (2) | BAIRRO DA VITORIA (2)	Todas as variantes pertencem à mesma família
74477032	2	SEGURO	DA VITÓRIA	DA VITÓRIA (2)	Todas as variantes pertencem à mesma família
74477033	2	SEGURO	DA VITÓRIA	DA VITÓRIA (2)	Todas as variantes pertencem à mesma família
74477034	5	BLOQUEADO		BAIRRO DA VITÓRIA (4) || Da Vitória (1)	CEP possui famílias de bairros estruturalmente distintas
74477036	11	BLOQUEADO		DA VITÓRIA (4) | Da Vitória (3) || BAIRRO DA VITÓRIA (4)	CEP possui famílias de bairros estruturalmente distintas
74477038	3	SEGURO	BAIRRO DA VITORIA	BAIRRO DA VITORIA (2) | BAIRRO DA VITÓRIA (1)	Todas as variantes pertencem à mesma família
74477040	1	SEGURO	BAIRRO DA VITÓRIA	BAIRRO DA VITÓRIA (1)	Todas as variantes pertencem à mesma família
74477041	4	BLOQUEADO		BAIRRO DA VITORIA (2) | BAIRRO DA VITÓRIA (1) || Da Vitória (1)	CEP possui famílias de bairros estruturalmente distintas
74477043	5	BLOQUEADO		Da Vitória (3) || BAIRRO DA VITÓRIA (2)	CEP possui famílias de bairros estruturalmente distintas
74477044	2	BLOQUEADO		BAIRRO DA VITORIA (1) || Da Vitória (1)	CEP possui famílias de bairros estruturalmente distintas
74477045	4	BLOQUEADO		BAIRRO DA VITÓRIA (1) | BAIRRO DA VITORIA (1) || DA VITÓRIA (2)	CEP possui famílias de bairros estruturalmente distintas
74477048	5	SEGURO	BAIRRO DA VITÓRIA	BAIRRO DA VITÓRIA (4) | BAIRRO DA VITORIA (1)	Todas as variantes pertencem à mesma família
74477049	1	SEGURO	DA VITÓRIA	DA VITÓRIA (1)	Todas as variantes pertencem à mesma família
74477050	2	SEGURO	DA VITÓRIA	DA VITÓRIA (1) | Da Vitória (1)	Todas as variantes pertencem à mesma família
74477051	2	SEGURO	DA VITÓRIA	DA VITÓRIA (2)	Todas as variantes pertencem à mesma família
74477053	4	BLOQUEADO		BAIRRO DA VITÓRIA (3) || DA VITÓRIA (1)	CEP possui famílias de bairros estruturalmente distintas
74477054	3	BLOQUEADO		DA VITÓRIA (2) || BAIRRO DA VITÓRIA (1)	CEP possui famílias de bairros estruturalmente distintas
74477055	3	SEGURO	BAIRRO DA VITÓRIA	BAIRRO DA VITÓRIA (2) | BAIRRO DA VITORIA (1)	Todas as variantes pertencem à mesma família
74477056	2	SEGURO	BAIRRO DA VITÓRIA	BAIRRO DA VITÓRIA (2)	Todas as variantes pertencem à mesma família
74477057	12	BLOQUEADO		BAIRRO DA VITORIA (4) | BAIRRO DA VITÓRIA (2) || DA VITÓRIA (5) | Da Vitória (1)	CEP possui famílias de bairros estruturalmente distintas
74477058	4	SEGURO	SÃO CARLOS	SÃO CARLOS (3) | São Carlos (1)	Todas as variantes pertencem à mesma família
74477059	2	SEGURO	SÃO CARLOS	SÃO CARLOS (2)	Todas as variantes pertencem à mesma família
74477060	1	SEGURO	SÃO CARLOS	SÃO CARLOS (1)	Todas as variantes pertencem à mesma família
74477061	7	SEGURO	SÃO CARLOS	SÃO CARLOS (5) | São Carlos (2)	Todas as variantes pertencem à mesma família
74477062	12	SEGURO	SÃO CARLOS	SÃO CARLOS (10) | SAO CARLOS (1) | São Carlos (1)	Todas as variantes pertencem à mesma família
74477063	1	SEGURO	SÃO CARLOS	SÃO CARLOS (1)	Todas as variantes pertencem à mesma família
74477064	1	SEGURO	SÃO CARLOS	SÃO CARLOS (1)	Todas as variantes pertencem à mesma família
74477066	10	SEGURO	SÃO CARLOS	SÃO CARLOS (10)	Todas as variantes pertencem à mesma família
74477067	6	REVISAR	SÃO CARLOS	SÃO CARLOS (5) || BAIRRO SÃO CARLOS (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74477068	6	SEGURO	SÃO CARLOS	SÃO CARLOS (4) | São Carlos (2)	Todas as variantes pertencem à mesma família
74477069	2	SEGURO	SÃO CARLOS	SÃO CARLOS (2)	Todas as variantes pertencem à mesma família
