cep	status	bairro_sugerido	bairro_principal_original	clientes_total	clientes_principal	clientes_a_alterar	percentual_principal	familias	variacoes
74475470	BLOQUEADO	VILA MUTIRAO	VILA MUTIRÃO	17	11	6	64.71	2	VILA MUTIRÃO (11) | VILA MUTIRÃO II (3) | Vila Mutirão II (3)
74475474	SEGURO	VILA MUTIRAO	VILA MUTIRÃO	1	1	0	100.0	1	VILA MUTIRÃO (1)
74475475	BLOQUEADO	VILA MUTIRAO	VILA MUTIRÃO	16	10	6	62.5	2	VILA MUTIRÃO (10) | VILA MUTIRÃO II (5) | Vila Mutirão II (1)
74475485	BLOQUEADO	JARDIM LIBERDADE	JARDIM LIBERDADE	2	1	1	50.0	2	JARDIM LIBERDADE (1) | VILA MUTIRÃO (1)
74475490	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	1	1	0	100.0	1	JARDIM LIBERDADE (1)
74475500	SEGURO	VILA MUTIRAO	VILA MUTIRÃO	1	1	0	100.0	1	VILA MUTIRÃO (1)
74475520	BLOQUEADO	JARDIM LIBERDADE	JARDIM LIBERDADE	47	36	11	91.49	2	JARDIM LIBERDADE (36) | Jardim Liberdade (7) | VILA MUTIRÃO (3) | VILA MUTIRAO (1)
74475530	REVISAR	JARDIM LIBERDADE	JARDIM LIBERDADE	43	39	4	97.67	2	JARDIM LIBERDADE (39) | Jardim Liberdade (3) | LIBERDADE (1)
74475535	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	29	28	1	100.0	1	JARDIM LIBERDADE (28) | Jardim Liberdade (1)
74475540	BLOQUEADO	JARDIM LIBERDADE	JARDIM LIBERDADE	16	11	5	87.5	2	JARDIM LIBERDADE (11) | Jardim Liberdade (3) | VILA MUTIRÃO (2)
74475550	REVISAR	JARDIM LIBERDADE	JARDIM LIBERDADE	24	21	3	95.83	2	JARDIM LIBERDADE (21) | Jardim Liberdade (2) | SETOR PERIM (1)
74475570	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	10	8	2	100.0	1	JARDIM LIBERDADE (8) | Jardim Liberdade (2)
74475574	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	1	1	0	100.0	1	JARDIM LIBERDADE (1)
74475575	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	36	34	2	100.0	1	JARDIM LIBERDADE (34) | Jardim Liberdade (2)
74475580	BLOQUEADO	JARDIM LIBERDADE	JARDIM LIBERDADE	38	30	8	89.47	4	JARDIM LIBERDADE (30) | Jardim Liberdade (4) | JARDIM VISTA BELA (1) | RESIDENCIAL FORTALEZA (1) | VILA MUTIRÃO (1) | Vila mutirão (1)
74475590	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	41	39	2	100.0	1	JARDIM LIBERDADE (39) | Jardim Liberdade (2)
74475600	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	11	11	0	100.0	1	JARDIM LIBERDADE (11)
74475610	REVISAR	JARDIM LIBERDADE	JARDIM LIBERDADE	27	24	3	96.3	2	JARDIM LIBERDADE (24) | Jardim Liberdade (2) | NOVO PLANALTO (1)
74475620	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	10	8	2	100.0	1	JARDIM LIBERDADE (8) | Jardim Liberdade (2)
74475625	SEGURO	JARDIM COLORADO	JARDIM COLORADO	1	1	0	100.0	1	JARDIM COLORADO (1)
74475630	BLOQUEADO	JARDIM LIBERDADE	JARDIM LIBERDADE	4	3	1	75.0	2	JARDIM LIBERDADE (3) | VILA MUTIRÃO (1)
74475640	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	39	35	4	100.0	1	JARDIM LIBERDADE (35) | Jardim Liberdade (4)
74475650	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	27	25	2	100.0	1	JARDIM LIBERDADE (25) | Jardim Liberdade (2)
74475660	REVISAR	JARDIM LIBERDADE	JARDIM LIBERDADE	77	68	9	96.1	2	JARDIM LIBERDADE (68) | Jardim Liberdade (6) | VILA MUTIRÃO (3)
74475670	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	15	15	0	100.0	1	JARDIM LIBERDADE (15)
74475675	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	13	13	0	100.0	1	JARDIM LIBERDADE (13)
74475680	BLOQUEADO	JARDIM LIBERDADE	JARDIM LIBERDADE	10	9	1	90.0	2	JARDIM LIBERDADE (9) | NOVO PLANALTO (1)
74475742	SEGURO	ESTRELA DALVA	SETOR ESTRELA DALVA	1	1	0	100.0	1	SETOR ESTRELA DALVA (1)
74475757	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	1	1	0	100.0	1	JARDIM LIBERDADE (1)
74475801	SEGURO	PARQUE TREMENDAO	PARQUE TREMENDÃO	11	5	6	100.0	1	PARQUE TREMENDÃO (5) | SETOR PARQUE TREMENDÃO (5) | Setor Parque Tremendão (1)
74475802	BLOQUEADO	PARQUE TREMENDAO	SETOR PARQUE TREMENDÃO	9	4	5	77.78	3	SETOR PARQUE TREMENDÃO (4) | PARQUE TREMENDÃO (3) | PARQUE TREMENDÃO 2 (1) | TREMENDÃO (1)
74475803	SEGURO	PARQUE TREMENDAO	PARQUE TREMENDÃO	20	14	6	100.0	1	PARQUE TREMENDÃO (14) | SETOR PARQUE TREMENDÃO (4) | PARQUE TREMENDAO (2)
74475804	SEGURO	PARQUE TREMENDAO	PARQUE TREMENDÃO	16	8	8	100.0	1	PARQUE TREMENDÃO (8) | SETOR PARQUE TREMENDÃO (7) | SETOR PARQUE TREMENDAO (1)
74475805	SEGURO	PARQUE TREMENDAO	PARQUE TREMENDÃO	2	2	0	100.0	1	PARQUE TREMENDÃO (2)
74475807	SEGURO	PARQUE TREMENDAO	PARQUE TREMENDÃO	11	8	3	100.0	1	PARQUE TREMENDÃO (8) | SETOR PARQUE TREMENDÃO (2) | Setor Parque Tremendão (1)
74475809	SEGURO	PARQUE TREMENDAO	PARQUE TREMENDÃO	1	1	0	100.0	1	PARQUE TREMENDÃO (1)
74475810	SEGURO	PARQUE TREMENDAO	PARQUE TREMENDÃO	8	4	4	100.0	1	PARQUE TREMENDÃO (4) | Setor Parque Tremendão (3) | SETOR PARQUE TREMENDÃO (1)
74475813	SEGURO	PARQUE TREMENDAO	PARQUE TREMENDÃO	2	2	0	100.0	1	PARQUE TREMENDÃO (2)
74475818	SEGURO	PARQUE TREMENDAO	Setor Parque Tremendão	1	1	0	100.0	1	Setor Parque Tremendão (1)
74475820	SEGURO	PARQUE TREMENDAO	Setor Parque Tremendão	1	1	0	100.0	1	Setor Parque Tremendão (1)
74475845	SEGURO	VILA MUTIRAO	VILA MUTIRÃO	1	1	0	100.0	1	VILA MUTIRÃO (1)
74475860	SEGURO	PARQUE TREMENDAO	PARQUE TREMENDÃO	14	10	4	100.0	1	PARQUE TREMENDÃO (10) | SETOR PARQUE TREMENDÃO (3) | Setor Parque Tremendão (1)
74476005	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA	1	1	0	100.0	1	RESIDENCIAL FORTALEZA (1)
74476010	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA	2	2	0	100.0	1	RESIDENCIAL FORTALEZA (2)
74476020	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA	1	1	0	100.0	1	RESIDENCIAL FORTALEZA (1)
74476030	BLOQUEADO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA	11	10	1	90.91	2	RESIDENCIAL FORTALEZA (10) | BAIRRO DA VITORIA (1)
74476040	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA	4	4	0	100.0	1	RESIDENCIAL FORTALEZA (4)
74476050	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA	19	16	3	100.0	1	RESIDENCIAL FORTALEZA (16) | Residencial Fortaleza (3)
74476065	BLOQUEADO	RESIDENCIAL FORTALEZA	Residencial Fortaleza	7	3	4	71.43	3	Residencial Fortaleza (3) | RESIDENCIAL FORTALEZA (2) | JARDIM LIBERDADE (1) | NOVO PLANALTO (1)
74476070	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA	23	21	2	100.0	1	RESIDENCIAL FORTALEZA (21) | Residencial Fortaleza (2)
74476080	SEGURO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA	2	1	1	100.0	1	RESIDENCIAL FORTALEZA (1) | Residencial Fortaleza (1)
74476100	BLOQUEADO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA	3	2	1	66.67	2	RESIDENCIAL FORTALEZA (2) | CONDOMÍNIO TERRA NOVA (1)
74476110	BLOQUEADO	RESIDENCIAL FORTALEZA	RESIDENCIAL FORTALEZA	9	6	3	66.67	3	RESIDENCIAL FORTALEZA (6) | JARDIM LIBERDADE (2) | VILA MUTIRÃO (1)
74476125	SEGURO	CONJUNTO RESIDENCIAL PAULO PACHECO	CONJUNTO RESIDENCIAL PAULO PACHECO	1	1	0	100.0	1	CONJUNTO RESIDENCIAL PAULO PACHECO (1)
74477001	SEGURO	DA VITORIA	BAIRRO DA VITORIA	5	2	3	100.0	1	BAIRRO DA VITORIA (2) | DA VITÓRIA (2) | BAIRRO DA VITÓRIA (1)
74477002	SEGURO	DA VITORIA	BAIRRO DA VITORIA	1	1	0	100.0	1	BAIRRO DA VITORIA (1)
74477003	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	7	3	4	100.0	1	BAIRRO DA VITÓRIA (3) | Da Vitória (2) | BAIRRO DA VITORIA (1) | DA VITÓRIA (1)
74477004	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	3	2	1	100.0	1	BAIRRO DA VITÓRIA (2) | Da Vitória (1)
74477005	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	1	1	0	100.0	1	BAIRRO DA VITÓRIA (1)
74477006	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	7	3	4	100.0	1	BAIRRO DA VITÓRIA (3) | Da Vitória (2) | BAIRRO DA VITORIA (1) | DA VITÓRIA (1)
74477007	SEGURO	DA VITORIA	DA VITÓRIA	1	1	0	100.0	1	DA VITÓRIA (1)
74477008	SEGURO	DA VITORIA	DA VITÓRIA	2	1	1	100.0	1	DA VITÓRIA (1) | Da Vitória (1)
74477009	BLOQUEADO	DA VITORIA	BAIRRO DA VITÓRIA	2	1	1	50.0	2	BAIRRO DA VITÓRIA (1) | SAO CARLOS (1)
74477010	BLOQUEADO	DA VITORIA	BAIRRO DA VITÓRIA	4	2	2	50.0	3	BAIRRO DA VITÓRIA (2) | CONDOMÍNIO TERRA NOVA (1) | RESERVA CAMPO BELO (1)
74477011	SEGURO	DA VITORIA	BAIRRO DA VITORIA	2	2	0	100.0	1	BAIRRO DA VITORIA (2)
74477012	BLOQUEADO	DA VITORIA	BAIRRO DA VITÓRIA	10	4	6	60.0	4	BAIRRO DA VITÓRIA (4) | JARDIM NOVA ESPERANÇA (2) | BAIRRO DA VITORIA (1) | CANDIDA DE MORAES (1) | Da Vitória (1) | SÃO CARLOS (1)
74477018	SEGURO	DA VITORIA	Da Vitória	1	1	0	100.0	1	Da Vitória (1)
74477019	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	4	3	1	100.0	1	BAIRRO DA VITÓRIA (3) | BAIRRO DA VITORIA (1)
74477020	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	12	5	7	100.0	1	BAIRRO DA VITÓRIA (5) | DA VITÓRIA (5) | BAIRRO DA VITORIA (1) | Da Vitória (1)
74477021	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	5	4	1	100.0	1	BAIRRO DA VITÓRIA (4) | DA VITÓRIA (1)
74477022	SEGURO	DA VITORIA	BAIRRO DA VITORIA	3	2	1	100.0	1	BAIRRO DA VITORIA (2) | BAIRRO DA VITÓRIA (1)
74477024	SEGURO	DA VITORIA	BAIRRO DA VITORIA	3	1	2	100.0	1	BAIRRO DA VITORIA (1) | BAIRRO DA VITÓRIA (1) | Da Vitória (1)
74477025	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	3	1	2	100.0	1	BAIRRO DA VITÓRIA (1) | BAIRRO DA VITORIA (1) | Da Vitória (1)
74477026	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	1	1	0	100.0	1	BAIRRO DA VITÓRIA (1)
74477027	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	3	2	1	100.0	1	BAIRRO DA VITÓRIA (2) | DA VITÓRIA (1)
74477030	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	7	4	3	100.0	1	BAIRRO DA VITÓRIA (4) | BAIRRO DA VITORIA (2) | DA VITÓRIA (1)
74477031	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	4	2	2	100.0	1	BAIRRO DA VITÓRIA (2) | BAIRRO DA VITORIA (2)
74477032	SEGURO	DA VITORIA	DA VITÓRIA	2	2	0	100.0	1	DA VITÓRIA (2)
74477033	SEGURO	DA VITORIA	DA VITÓRIA	2	2	0	100.0	1	DA VITÓRIA (2)
74477034	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	5	4	1	100.0	1	BAIRRO DA VITÓRIA (4) | Da Vitória (1)
74477036	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	11	4	7	100.0	1	BAIRRO DA VITÓRIA (4) | DA VITÓRIA (4) | Da Vitória (3)
74477038	SEGURO	DA VITORIA	BAIRRO DA VITORIA	3	2	1	100.0	1	BAIRRO DA VITORIA (2) | BAIRRO DA VITÓRIA (1)
74477040	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	1	1	0	100.0	1	BAIRRO DA VITÓRIA (1)
74477041	SEGURO	DA VITORIA	BAIRRO DA VITORIA	4	2	2	100.0	1	BAIRRO DA VITORIA (2) | BAIRRO DA VITÓRIA (1) | Da Vitória (1)
74477043	SEGURO	DA VITORIA	Da Vitória	5	3	2	100.0	1	Da Vitória (3) | BAIRRO DA VITÓRIA (2)
74477044	SEGURO	DA VITORIA	BAIRRO DA VITORIA	2	1	1	100.0	1	BAIRRO DA VITORIA (1) | Da Vitória (1)
74477045	SEGURO	DA VITORIA	DA VITÓRIA	4	2	2	100.0	1	DA VITÓRIA (2) | BAIRRO DA VITÓRIA (1) | BAIRRO DA VITORIA (1)
74477048	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	5	4	1	100.0	1	BAIRRO DA VITÓRIA (4) | BAIRRO DA VITORIA (1)
74477049	SEGURO	DA VITORIA	DA VITÓRIA	1	1	0	100.0	1	DA VITÓRIA (1)
74477050	SEGURO	DA VITORIA	DA VITÓRIA	2	1	1	100.0	1	DA VITÓRIA (1) | Da Vitória (1)
74477051	SEGURO	DA VITORIA	DA VITÓRIA	2	2	0	100.0	1	DA VITÓRIA (2)
74477053	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	4	3	1	100.0	1	BAIRRO DA VITÓRIA (3) | DA VITÓRIA (1)
74477054	SEGURO	DA VITORIA	DA VITÓRIA	3	2	1	100.0	1	DA VITÓRIA (2) | BAIRRO DA VITÓRIA (1)
74477055	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	3	2	1	100.0	1	BAIRRO DA VITÓRIA (2) | BAIRRO DA VITORIA (1)
74477056	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	2	2	0	100.0	1	BAIRRO DA VITÓRIA (2)
74477057	SEGURO	DA VITORIA	DA VITÓRIA	12	5	7	100.0	1	DA VITÓRIA (5) | BAIRRO DA VITORIA (4) | BAIRRO DA VITÓRIA (2) | Da Vitória (1)
74477058	SEGURO	SAO CARLOS	SÃO CARLOS	4	3	1	100.0	1	SÃO CARLOS (3) | São Carlos (1)
74477059	SEGURO	SAO CARLOS	SÃO CARLOS	2	2	0	100.0	1	SÃO CARLOS (2)
74477060	SEGURO	SAO CARLOS	SÃO CARLOS	1	1	0	100.0	1	SÃO CARLOS (1)
74477061	SEGURO	SAO CARLOS	SÃO CARLOS	7	5	2	100.0	1	SÃO CARLOS (5) | São Carlos (2)
74477062	SEGURO	SAO CARLOS	SÃO CARLOS	12	10	2	100.0	1	SÃO CARLOS (10) | SAO CARLOS (1) | São Carlos (1)
74477063	SEGURO	SAO CARLOS	SÃO CARLOS	1	1	0	100.0	1	SÃO CARLOS (1)
74477064	SEGURO	SAO CARLOS	SÃO CARLOS	1	1	0	100.0	1	SÃO CARLOS (1)
74477066	SEGURO	SAO CARLOS	SÃO CARLOS	10	10	0	100.0	1	SÃO CARLOS (10)
74477067	SEGURO	SAO CARLOS	SÃO CARLOS	6	5	1	100.0	1	SÃO CARLOS (5) | BAIRRO SÃO CARLOS (1)
74477068	SEGURO	SAO CARLOS	SÃO CARLOS	6	4	2	100.0	1	SÃO CARLOS (4) | São Carlos (2)
74477069	SEGURO	SAO CARLOS	SÃO CARLOS	2	2	0	100.0	1	SÃO CARLOS (2)
74477070	SEGURO	SAO CARLOS	SÃO CARLOS	6	4	2	100.0	1	SÃO CARLOS (4) | BAIRRO SÃO CARLOS (1) | SAO CARLOS (1)
74477071	SEGURO	SAO CARLOS	SÃO CARLOS	4	3	1	100.0	1	SÃO CARLOS (3) | São Carlos (1)
74477072	SEGURO	DA VITORIA	BAIRRO DA VITÓRIA	2	1	1	100.0	1	BAIRRO DA VITÓRIA (1) | Da Vitoria (1)
74477074	SEGURO	SAO CARLOS	SÃO CARLOS	4	3	1	100.0	1	SÃO CARLOS (3) | São Carlos (1)
74477076	BLOQUEADO	SAO CARLOS	SÃO CARLOS	4	2	2	75.0	2	SÃO CARLOS (2) | BAIRRO SÃO CARLOS (1) | Da Vitória (1)
74477078	SEGURO	SAO CARLOS	SÃO CARLOS	4	4	0	100.0	1	SÃO CARLOS (4)
74477079	SEGURO	SAO CARLOS	SÃO CARLOS	2	2	0	100.0	1	SÃO CARLOS (2)
74477080	SEGURO	SAO CARLOS	SÃO CARLOS	4	3	1	100.0	1	SÃO CARLOS (3) | São Carlos (1)
74477081	SEGURO	SAO CARLOS	SÃO CARLOS	7	7	0	100.0	1	SÃO CARLOS (7)
74477083	SEGURO	SAO CARLOS	SÃO CARLOS	4	2	2	100.0	1	SÃO CARLOS (2) | SAO CARLOS (1) | São Carlos (1)
74477084	SEGURO	SAO CARLOS	SÃO CARLOS	3	2	1	100.0	1	SÃO CARLOS (2) | São Carlos (1)
74477086	SEGURO	SAO CARLOS	SÃO CARLOS	1	1	0	100.0	1	SÃO CARLOS (1)
74477087	SEGURO	SAO CARLOS	SÃO CARLOS	3	2	1	100.0	1	SÃO CARLOS (2) | São Carlos (1)
74477088	BLOQUEADO	SAO CARLOS	SÃO CARLOS	14	7	7	92.86	2	SÃO CARLOS (7) | São Carlos (4) | SAO CARLOS (2) | Jardim Nova Esperança (1)
74477089	SEGURO	SAO CARLOS	SÃO CARLOS	6	3	3	100.0	1	SÃO CARLOS (3) | São Carlos (3)
74477091	SEGURO	SAO CARLOS	SÃO CARLOS	4	4	0	100.0	1	SÃO CARLOS (4)
74477092	SEGURO	SAO CARLOS	São Carlos	1	1	0	100.0	1	São Carlos (1)
74477093	SEGURO	SAO CARLOS	SÃO CARLOS	1	1	0	100.0	1	SÃO CARLOS (1)
74477094	SEGURO	SAO CARLOS	SÃO CARLOS	3	3	0	100.0	1	SÃO CARLOS (3)
74477096	SEGURO	SAO CARLOS	SÃO CARLOS	2	2	0	100.0	1	SÃO CARLOS (2)
74477097	SEGURO	SAO CARLOS	SÃO CARLOS	7	5	2	100.0	1	SÃO CARLOS (5) | SAO CARLOS (2)
74477098	SEGURO	SAO CARLOS	SÃO CARLOS	4	3	1	100.0	1	SÃO CARLOS (3) | SAO CARLOS (1)
74477099	SEGURO	SAO CARLOS	SÃO CARLOS	4	3	1	100.0	1	SÃO CARLOS (3) | São Carlos (1)
74477100	SEGURO	SAO CARLOS	SÃO CARLOS	4	3	1	100.0	1	SÃO CARLOS (3) | São Carlos (1)
74477101	SEGURO	SAO CARLOS	São Carlos	3	2	1	100.0	1	São Carlos (2) | SÃO CARLOS (1)
74477103	SEGURO	SAO CARLOS	SÃO CARLOS	2	2	0	100.0	1	SÃO CARLOS (2)
74477104	SEGURO	SAO CARLOS	SAO CARLOS	1	1	0	100.0	1	SAO CARLOS (1)
74477105	SEGURO	SAO CARLOS	São Carlos	9	6	3	100.0	1	São Carlos (6) | SÃO CARLOS (3)
74477106	SEGURO	SAO CARLOS	SÃO CARLOS	6	5	1	100.0	1	SÃO CARLOS (5) | SAO CARLOS (1)
74477107	SEGURO	SAO CARLOS	SÃO CARLOS	11	9	2	100.0	1	SÃO CARLOS (9) | São Carlos (2)
74477108	SEGURO	SAO CARLOS	SÃO CARLOS	4	3	1	100.0	1	SÃO CARLOS (3) | SAO CARLOS (1)
74477109	SEGURO	SAO CARLOS	SÃO CARLOS	2	2	0	100.0	1	SÃO CARLOS (2)
74477110	SEGURO	SAO CARLOS	SÃO CARLOS	4	3	1	100.0	1	SÃO CARLOS (3) | São Carlos (1)
74477112	SEGURO	SAO CARLOS	SÃO CARLOS	1	1	0	100.0	1	SÃO CARLOS (1)
74477115	SEGURO	FLORESTA	Floresta	1	1	0	100.0	1	Floresta (1)
74477122	SEGURO	FLORESTA	Floresta	2	2	0	100.0	1	Floresta (2)
74477147	SEGURO	DA VITORIA	DA VITÓRIA	4	4	0	100.0	1	DA VITÓRIA (4)
74477186	SEGURO	SAO CARLOS	SÃO CARLOS	3	3	0	100.0	1	SÃO CARLOS (3)
74477187	SEGURO	SAO CARLOS	SÃO CARLOS	2	2	0	100.0	1	SÃO CARLOS (2)
74477189	SEGURO	SAO CARLOS	SÃO CARLOS	1	1	0	100.0	1	SÃO CARLOS (1)
74477190	SEGURO	SAO CARLOS	SÃO CARLOS	11	8	3	100.0	1	SÃO CARLOS (8) | BAIRRO SAO CARLOS (2) | São Carlos (1)
74477200	SEGURO	JARDIM VISTA BELA	JARDIM VISTA BELA	2	2	0	100.0	1	JARDIM VISTA BELA (2)
74477447	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	1	1	0	100.0	1	JARDIM LIBERDADE (1)
74477600	SEGURO	FAZENDA SAO DOMINGOS	FAZENDA SÃO DOMINGOS	1	1	0	100.0	1	FAZENDA SÃO DOMINGOS (1)
74477657	SEGURO	DA VITORIA	BAIRRO DA VITORIA	1	1	0	100.0	1	BAIRRO DA VITORIA (1)
74477720	SEGURO	CONDOMINIO CAMPO BELO	CONDOMÍNIO CAMPO BELO	1	1	0	100.0	1	CONDOMÍNIO CAMPO BELO (1)
74478036	SEGURO	NOVO PLANALTO	NOVO PLANALTO	1	1	0	100.0	1	NOVO PLANALTO (1)
74478395	SEGURO	NOVO PLANALTO	NOVO PLANALTO	1	1	0	100.0	1	NOVO PLANALTO (1)
74478710	SEGURO	MANSOES PARAISO	MANSÕES PARAÍSO	1	1	0	100.0	1	MANSÕES PARAÍSO (1)
74480000	BLOQUEADO	CAPUAVA	BAIRRO CAPUAVA	4	1	3	25.0	4	BAIRRO CAPUAVA (1) | COLORADO (1) | JARDIM COLORADO (1) | JARDIM NOVO MUNDO (1)
74480003	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	1	1	0	100.0	1	JARDIM LIBERDADE (1)
74480008	SEGURO	VILA MUTIRAO	VILA MUTIRÃO	1	1	0	100.0	1	VILA MUTIRÃO (1)
74480010	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	3	3	0	100.0	1	JARDIM LIBERDADE (3)
74480020	BLOQUEADO	VILA MUTIRAO	VILA MUTIRÃO	3	2	1	66.67	2	VILA MUTIRÃO (2) | JARDIM LIBERDADE (1)
74480030	REVISAR	JARDIM LIBERDADE	JARDIM LIBERDADE	41	37	4	95.12	2	JARDIM LIBERDADE (37) | Jardim Liberdade (2) | VILA MUTIRÃO (2)
74480040	BLOQUEADO	VILA MUTIRAO	VILA MUTIRÃO	9	6	3	66.67	2	VILA MUTIRÃO (6) | Vila Mutirão I (2) | VILA MUTIRÃO I (1)
74480050	SEGURO	NOVO PLANALTO	NOVO PLANALTO	5	3	2	100.0	1	NOVO PLANALTO (3) | SETOR NOVO PLANALTO (2)
74480060	BLOQUEADO	NOVO PLANALTO	NOVO PLANALTO	55	32	23	94.55	4	NOVO PLANALTO (32) | SETOR NOVO PLANALTO (15) | Setor Novo Planalto (5) | JARDIM NOVA ESPERANÇA (1) | MANSÕES PARAISO (1) | Vila Mutirão (1)
74480070	BLOQUEADO	JARDIM LIBERDADE	JARDIM LIBERDADE	29	23	6	82.76	3	JARDIM LIBERDADE (23) | NOVO PLANALTO (2) | Jardim Liberdade (1) | SETOR NOVO PLANALTO (1) | VILA MUTIRÃO (1) | VILA MUTIRAO (1)
74480080	SEGURO	NOVO PLANALTO	NOVO PLANALTO	1	1	0	100.0	1	NOVO PLANALTO (1)
74480098	SEGURO	SAO CARLOS	SÃO CARLOS	1	1	0	100.0	1	SÃO CARLOS (1)
74480110	BLOQUEADO	VILA MUTIRAO	VILA MUTIRÃO	29	13	16	44.83	4	VILA MUTIRÃO (13) | VILA MUTIRÃO I (8) | JARDIM LIBERDADE (5) | Vila Mutirão I (2) | JARDIM CURITIBA IV (1)
74480120	BLOQUEADO	VILA MUTIRAO I	VILA MUTIRÃO I	13	6	7	53.85	3	VILA MUTIRÃO I (6) | VILA MUTIRÃO (5) | CURITIBA 4 (1) | Vila Mutirão I (1)
74480130	SEGURO	NOVO PLANALTO	NOVO PLANALTO	4	3	1	100.0	1	NOVO PLANALTO (3) | SETOR NOVO PLANALTO (1)
74480140	BLOQUEADO	VILA MUTIRAO	VILA MUTIRÃO	14	9	5	64.29	3	VILA MUTIRÃO (9) | VILA MUTIRÃO I (3) | JARDIM LIBERDADE (1) | Vila Mutirão I (1)
74480150	BLOQUEADO	VILA MUTIRAO I	VILA MUTIRÃO	18	8	10	50.0	3	VILA MUTIRÃO (8) | Vila Mutirão I (7) | VILA MUTIRÃO I (2) | JARDIM LIBERDADE (1)
74480160	BLOQUEADO	VILA MUTIRAO I	VILA MUTIRÃO	22	10	12	54.55	2	VILA MUTIRÃO (10) | VILA MUTIRÃO I (8) | Vila Mutirão I (4)
74480170	BLOQUEADO	VILA MUTIRAO	VILA MUTIRÃO	20	11	9	65.0	2	VILA MUTIRÃO (11) | VILA MUTIRÃO I (4) | Vila Mutirão I (3) | VILA MUTIRAO (2)
74480180	BLOQUEADO	VILA MUTIRAO	VILA MUTIRÃO	26	14	12	61.54	3	VILA MUTIRÃO (14) | VILA MUTIRÃO I (5) | Vila Mutirão I (4) | VILA MUTIRAO (2) | VILA MULTIRÃO I (1)
74480190	BLOQUEADO	VILA MUTIRAO	VILA MUTIRÃO	5	3	2	60.0	3	VILA MUTIRÃO (3) | VILA MULTIRÃO (1) | Vila Mutirão I (1)
74480230	BLOQUEADO	VILA MUTIRAO	VILA MUTIRÃO	16	10	6	62.5	2	VILA MUTIRÃO (10) | VILA MUTIRÃO I (3) | Vila Mutirão I (3)
74480240	BLOQUEADO	VILA MUTIRAO I	VILA MUTIRÃO I	27	11	16	51.85	4	VILA MUTIRÃO I (11) | VILA MUTIRÃO (10) | Vila Mutirão I (3) | CANDIDA DE MORAIS (1) | NOVO PLANALTO (1) | VILA MUTIRAO (1)
74480250	BLOQUEADO	VILA MUTIRAO	VILA MUTIRÃO	27	11	16	55.56	4	VILA MUTIRÃO (11) | VILA MUTIRÃO I (6) | Vila Mutirão I (4) | VILA MUTIRAO (3) | Jardim Liberdade (1) | VILA MULTIRÃO (1) | Vila Mutirão (1)
